"","random.stat","random.pval","obs.pval","obs.stat","label","mean_numeric","sd_numeric"
"13880",2.7254478147061,0.748251748251748,0.508932401219519,-0.660997810305852,"AA=0.9, BB=0.9, r=0.75",1.938,1.2495113273253
"13881",1.13585048220127,0.0599400599400599,0.000000159164970175213,5.31984149856647,"AA=0.9, BB=0.9, r=0.75",2.254,1.59705515569772
"13882",-1.19455057400271,0.243756243756244,0.0320171844472503,2.15590164197536,"AA=0.9, BB=0.9, r=0.75",2.446,1.44889011492599
"13883",-0.19387940789055,0.922077922077922,0.803917949238934,0.24841240812386,"AA=0.9, BB=0.9, r=0.75",1.738,1.27617131547959
"13884",2.12760352425418,0.768231768231768,0.509072742642307,0.661398350841656,"AA=0.9, BB=0.9, r=0.75",2.204,1.51623941510827
"13885",0.0866531464092543,0.588411588411588,0.244306590581196,-1.16683355056225,"AA=0.9, BB=0.9, r=0.75",2.082,1.3766140099042
"13886",-2.36399833129391,0.551448551448551,0.246073445602549,1.16171968663325,"AA=0.9, BB=0.9, r=0.75",1.758,1.36350808894456
"13887",-0.22802977007581,0.144855144855145,0.00339415348634761,2.94402046148519,"AA=0.9, BB=0.9, r=0.75",2.222,1.37422450348258
"13888",1.65606771100121,0.201798201798202,0.00199186157622259,3.10791207506143,"AA=0.9, BB=0.9, r=0.75",1.95,1.38395471794515
"13889",-2.29714458022315,0.211788211788212,0.0291128989157901,-2.19501782819816,"AA=0.9, BB=0.9, r=0.75",1.624,1.0959133415121
"13890",-1.26055891844056,0.614385614385614,0.329584093784688,0.976173405714971,"AA=0.9, BB=0.9, r=0.75",2.218,1.52417920353513
"13891",0.239921721417167,0.028971028971029,0.00072686268569431,-3.47295424303648,"AA=0.9, BB=0.9, r=0.75",1.922,1.2645608836497
"13892",2.7511079148681,0.855144855144855,0.674464693062805,-0.420433351661986,"AA=0.9, BB=0.9, r=0.75",2.022,1.27466290879672
"13893",-0.789933564555388,0.592407592407592,0.30911154053166,-1.01905203940003,"AA=0.9, BB=0.9, r=0.75",1.822,1.4305274613356
"13894",-0.556078986535538,0.030969030969031,0.000146089114917575,3.82723618565972,"AA=0.9, BB=0.9, r=0.75",2.136,1.3583793243338
"13895",-0.99305022412768,0.574425574425574,0.00788067589786356,2.67647528324759,"AA=0.9, BB=0.9, r=0.75",2.188,1.56766423135969
"13896",0.580336048717925,0.190809190809191,0.0146059316481325,2.46510061447487,"AA=0.9, BB=0.9, r=0.75",1.97,1.31322088705457
"13897",0.309136757658144,0.545454545454545,0.0281674450988049,-2.20139209638998,"AA=0.9, BB=0.9, r=0.75",1.946,1.47765046672195
"13898",0.996912598047664,0.145854145854146,0.00567025035642205,2.78355582358789,"AA=0.9, BB=0.9, r=0.75",1.868,1.34543539153152
"13899",-0.516729631717099,0.514485514485514,0.115544616265686,1.57651462990293,"AA=0.9, BB=0.9, r=0.75",2.078,1.41418380405919
